"num_collisions","year","weekday","max_temp","max_wind","fog","snow"
538,2012,"7",93,9.9,0,0
564,2012,"1",88,15,0,0
664,2012,"2",88,12,0,0
432,2012,"3",91,11.1,0,0
638,2012,"5",91,9.9,0,0
490,2012,"6",95,14,0,0
464,2012,"7",90,8,0,0
533,2012,"1",84,9.9,0,0
524,2012,"2",86,9.9,0,0
565,2012,"3",84,7,0,0
577,2012,"4",88,7,0,0
603,2012,"5",87.1,7,0,0
536,2012,"6",82,13,1,0
494,2012,"7",87.1,13,0,0
528,2012,"1",91,14,0,0
648,2012,"2",93.9,9.9,0,0
559,2012,"3",100,13,1,0
522,2012,"4",75.9,15,0,0
604,2012,"5",73.9,13,0,0
528,2012,"6",77,12,0,0
498,2012,"7",82,8,0,0
505,2012,"1",86,13,0,0
574,2012,"2",90,15,0,0
612,2012,"3",84.9,19,0,0
604,2012,"4",87.1,13,1,0
638,2012,"5",87.1,14,0,0
513,2012,"6",84,8,1,0
376,2012,"7",79,12,0,0
530,2012,"1",79,8.9,0,0
540,2012,"2",80.1,14,0,0
616,2012,"3",78.1,9.9,1,0
570,2012,"4",87.1,11.1,1,0
589,2012,"5",89.1,13,1,0
568,2012,"6",90,11.1,1,0
518,2012,"7",91,15,1,0
593,2012,"1",86,15,0,0
547,2012,"2",82.9,9.9,0,0
528,2012,"3",86,8,0,0
581,2012,"4",88,7,0,0
617,2012,"5",79,20,1,0
507,2012,"6",87.1,16.9,0,0
505,2012,"7",84.9,22,0,0
504,2012,"1",86,13,0,0
520,2012,"2",81,9.9,0,0
602,2012,"3",81,9.9,1,0
613,2012,"4",84.9,13,1,0
574,2012,"5",88,15,0,0
540,2012,"6",78.1,9.9,0,0
467,2012,"7",75,12,0,0
473,2012,"1",78.1,9.9,0,0
482,2012,"2",81,12,0,0
504,2012,"3",80.1,8,0,0
574,2012,"4",84,8.9,0,0
601,2012,"5",87.1,7,0,0
474,2012,"6",84,13,1,0
471,2012,"7",82.9,8.9,0,0
548,2012,"1",81,8.9,1,0
587,2012,"2",86,15.9,0,0
550,2012,"3",79,15,0,0
618,2012,"4",82,15.9,0,0
701,2012,"5",90,20,0,0
515,2012,"6",90,16.9,0,0
421,2012,"7",80.1,11.1,0,0
373,2012,"1",79,14,0,0
606,2012,"2",79,15.9,0,0
601,2012,"3",80.1,16.9,0,0
572,2012,"4",79,12,0,0
680,2012,"5",86,8,0,0
598,2012,"6",81,15.9,1,0
464,2012,"7",75.9,16.9,0,0
637,2012,"1",71.1,20,0,0
521,2012,"2",72,18.1,0,0
651,2012,"3",80.1,9.9,0,0
632,2012,"4",80.1,9.9,0,0
609,2012,"5",80.1,9.9,0,0
557,2012,"6",72,14,0,0
458,2012,"7",73,13,0,0
452,2012,"1",77,7,0,0
556,2012,"2",75.2,19,1,0
612,2012,"3",73,21,0,0
522,2012,"4",68,15.9,0,0
654,2012,"5",73,16.9,0,0
547,2012,"6",75.9,15,0,0
480,2012,"7",72,12,0,0
562,2012,"1",66.2,12,0,0
594,2012,"2",72,15,0,0
404,2012,"3",75.9,14,0,0
620,2012,"4",73.9,16.9,0,0
703,2012,"5",69.1,15.9,1,0
485,2012,"6",68,14,1,0
449,2012,"7",68,14,0,0
555,2012,"1",70,23.9,0,0
593,2012,"2",70,9.9,0,0
502,2012,"3",73,9.9,1,0
554,2012,"4",73.4,13,1,0
693,2012,"5",78.1,9.9,0,0
500,2012,"6",75,15,1,0
481,2012,"7",66.2,16.9,0,0
376,2012,"1",55.9,15.9,0,0
570,2012,"2",57.2,18.1,0,0
640,2012,"3",64.9,15.9,0,0
657,2012,"4",62.6,20,0,0
594,2012,"5",62.6,19,0,0
547,2012,"6",52,20,0,0
517,2012,"7",69.1,20,0,0
607,2012,"1",71.1,20,0,0
602,2012,"2",64,15.9,0,0
615,2012,"3",60.1,11.1,0,0
630,2012,"4",64.9,9.9,0,0
738,2012,"5",66,18.1,1,0
587,2012,"6",69.1,18.1,1,0
426,2012,"7",64,18.1,0,0
609,2012,"1",66,20,0,0
522,2012,"2",64,14,0,0
494,2012,"3",59,9.9,0,0
511,2012,"4",61,8.9,0,0
598,2012,"5",64.9,7,0,0
524,2012,"6",64.9,12,0,0
403,2012,"7",61,22,0,0
298,2012,"1",64.4,35.9,0,0
372,2012,"2",64.4,22,0,0
549,2012,"3",60.8,14,0,0
439,2012,"4",57.2,19,0,0
345,2012,"5",53.6,13,0,0
307,2012,"6",51.8,15,0,0
344,2012,"7",51.8,15,0,0
479,2012,"1",48.2,19,0,0
514,2012,"2",45,14,0,0
718,2012,"3",48.2,42,1,0
550,2012,"4",55.9,41,0,0
688,2012,"5",53.1,30.9,0,3.9
444,2012,"6",54,14,0,0
526,2012,"7",63,9.9,0,0
547,2012,"1",64.9,9.9,1,0
648,2012,"2",62.6,25.1,0,0
625,2012,"3",46.9,22,0,0
623,2012,"4",48.2,21,0,0
672,2012,"5",48.2,15,0,0
542,2012,"6",51.1,16.9,0,0
446,2012,"7",48.9,14,0,0
585,2012,"1",53.6,16.9,0,0
671,2012,"2",51.8,14,0,0
689,2012,"3",53.6,16.9,0,0
384,2012,"4",54,15.9,0,0
481,2012,"5",54,8.9,1,0
458,2012,"6",53.1,20,1,0
415,2012,"7",41,22.9,0,0
563,2012,"1",46.9,16.9,0,0
583,2012,"2",44.6,9.9,0,0
512,2012,"3",44.6,21,0,0
515,2012,"4",43,15.9,0,0
576,2012,"5",46,18.1,0,0
480,2012,"6",45,14,0,0
455,2012,"7",53.6,15,1,0
621,2012,"1",60.1,15,0,0
621,2012,"2",62.1,9.9,1,0
514,2012,"3",57.9,19,0,0
620,2012,"4",45,19,0,0
714,2012,"5",48.2,12,0,0
580,2012,"6",55.4,15.9,1,0
544,2012,"7",50,15.9,0,0
619,2012,"1",57.9,19,1,0
578,2012,"2",59,19,1,0
550,2012,"3",43,12,0,0
545,2012,"4",46,11.1,0,0
648,2012,"5",48,18.1,0,0
523,2012,"6",46.9,13,0,0
500,2012,"7",46.9,19,0,0
649,2012,"1",50,20,0,0
645,2012,"2",54,12,0,0
590,2012,"3",48,25.1,0,0
606,2012,"4",44.6,22.9,0,0
751,2012,"5",55.9,32.1,0,0
542,2012,"6",45,25.1,0,0
408,2012,"7",42.1,21,0,0
518,2012,"1",42.1,12,0,0
354,2012,"2",46.4,15,0,0
531,2012,"3",39.2,19,1,0
525,2012,"4",52,34,1,0
557,2012,"5",41,22,0,0
442,2012,"6",44.6,21,1,0
411,2012,"7",44.6,39,0,0
482,2012,"1",37.4,22.9,0,0
381,2013,"2",39.9,8.9,0,0
480,2013,"3",33.1,9.9,0,0
549,2013,"4",32,8,0,0
505,2013,"5",37,13,0,0
389,2013,"6",42.1,12,0,0
393,2013,"7",46,8.9,0,0
521,2013,"1",45,11.1,0,0
513,2013,"2",48,8.9,0,0
487,2013,"3",48.9,9.9,0,0
555,2013,"4",48,11.1,0,0
660,2013,"5",44.1,7,0,0
475,2013,"6",46.9,7,0,0
373,2013,"7",48.9,8,1,0
542,2013,"1",72,8.9,1,0
516,2013,"2",50,11.1,0,0
578,2013,"3",37.9,12,0,0
491,2013,"4",43,8,0,0
561,2013,"5",39.9,9.9,0,0
484,2013,"6",51.1,13,0,0
393,2013,"7",53.1,15.9,0,0
355,2013,"1",39.9,11.1,0,0
544,2013,"2",30.9,14,0,0
545,2013,"3",19.9,11.1,0,0
554,2013,"4",21.9,15,0,0
674,2013,"5",24.1,11.1,0,0
558,2013,"6",26.1,9.9,0,0
429,2013,"7",34,9.9,0,2
507,2013,"1",34,8.9,0,1.2
542,2013,"2",48,8,0,1.2
497,2013,"3",59,8.9,1,0
592,2013,"4",61,20,1,0
574,2013,"5",34,14,0,0
534,2013,"6",28.9,12,0,0
445,2013,"7",30,7,0,0
553,2013,"1",30,12,0,0
566,2013,"2",30,8.9,0,0
566,2013,"3",39,7,0,0
526,2013,"4",35.1,8.9,0,0
703,2013,"5",34,19,1,0
403,2013,"6",32,14,1,0
400,2013,"7",36,8.9,0,0
475,2013,"1",45,7,1,9.8
