"num_collisions_adj","year","weekday","max_temp","max_wind","fog","snow"
252.322,2012,"7",93,9.9,0,0
264.516,2012,"1",88,15,0,0
311.416,2012,"2",88,12,0,0
202.608,2012,"3",91,11.1,0,0
299.222,2012,"5",91,9.9,0,0
229.81,2012,"6",95,14,0,0
217.616,2012,"7",90,8,0,0
249.977,2012,"1",84,9.9,0,0
245.756,2012,"2",86,9.9,0,0
264.985,2012,"3",84,7,0,0
270.613,2012,"4",88,7,0,0
282.807,2012,"5",87.1,7,0,0
251.384,2012,"6",82,13,1,0
231.686,2012,"7",87.1,13,0,0
247.632,2012,"1",91,14,0,0
303.912,2012,"2",93.9,9.9,0,0
262.171,2012,"3",100,13,1,0
244.818,2012,"4",75.9,15,0,0
283.276,2012,"5",73.9,13,0,0
247.632,2012,"6",77,12,0,0
233.562,2012,"7",82,8,0,0
236.845,2012,"1",86,13,0,0
269.206,2012,"2",90,15,0,0
287.028,2012,"3",84.9,19,0,0
283.276,2012,"4",87.1,13,1,0
299.222,2012,"5",87.1,14,0,0
240.597,2012,"6",84,8,1,0
176.344,2012,"7",79,12,0,0
248.57,2012,"1",79,8.9,0,0
253.26,2012,"2",80.1,14,0,0
288.904,2012,"3",78.1,9.9,1,0
267.33,2012,"4",87.1,11.1,1,0
276.241,2012,"5",89.1,13,1,0
266.392,2012,"6",90,11.1,1,0
242.942,2012,"7",91,15,1,0
278.117,2012,"1",86,15,0,0
256.543,2012,"2",82.9,9.9,0,0
247.632,2012,"3",86,8,0,0
272.489,2012,"4",88,7,0,0
289.373,2012,"5",79,20,1,0
237.783,2012,"6",87.1,16.9,0,0
236.845,2012,"7",84.9,22,0,0
236.376,2012,"1",86,13,0,0
243.88,2012,"2",81,9.9,0,0
282.338,2012,"3",81,9.9,1,0
287.497,2012,"4",84.9,13,1,0
269.206,2012,"5",88,15,0,0
253.26,2012,"6",78.1,9.9,0,0
219.023,2012,"7",75,12,0,0
221.837,2012,"1",78.1,9.9,0,0
226.058,2012,"2",81,12,0,0
236.376,2012,"3",80.1,8,0,0
269.206,2012,"4",84,8.9,0,0
281.869,2012,"5",87.1,7,0,0
222.306,2012,"6",84,13,1,0
220.899,2012,"7",82.9,8.9,0,0
257.012,2012,"1",81,8.9,1,0
275.303,2012,"2",86,15.9,0,0
257.95,2012,"3",79,15,0,0
289.842,2012,"4",82,15.9,0,0
328.769,2012,"5",90,20,0,0
241.535,2012,"6",90,16.9,0,0
197.449,2012,"7",80.1,11.1,0,0
174.937,2012,"1",79,14,0,0
284.214,2012,"2",79,15.9,0,0
281.869,2012,"3",80.1,16.9,0,0
268.268,2012,"4",79,12,0,0
318.92,2012,"5",86,8,0,0
280.462,2012,"6",81,15.9,1,0
217.616,2012,"7",75.9,16.9,0,0
298.753,2012,"1",71.1,20,0,0
244.349,2012,"2",72,18.1,0,0
305.319,2012,"3",80.1,9.9,0,0
296.408,2012,"4",80.1,9.9,0,0
285.621,2012,"5",80.1,9.9,0,0
261.233,2012,"6",72,14,0,0
214.802,2012,"7",73,13,0,0
211.988,2012,"1",77,7,0,0
260.764,2012,"2",75.2,19,1,0
287.028,2012,"3",73,21,0,0
244.818,2012,"4",68,15.9,0,0
306.726,2012,"5",73,16.9,0,0
256.543,2012,"6",75.9,15,0,0
225.12,2012,"7",72,12,0,0
263.578,2012,"1",66.2,12,0,0
278.586,2012,"2",72,15,0,0
189.476,2012,"3",75.9,14,0,0
290.78,2012,"4",73.9,16.9,0,0
329.707,2012,"5",69.1,15.9,1,0
227.465,2012,"6",68,14,1,0
210.581,2012,"7",68,14,0,0
260.295,2012,"1",70,23.9,0,0
278.117,2012,"2",70,9.9,0,0
