date,year,mo,da,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,collision_date,weekday,number_of_collisions,total_number_injured,total_number_killed
2012-07-01,2012,07,01,83.6,63.0,1008.9,9.7,4.1,9.9,18.1,93.0,66.0,0.0,999.9,0,2012-07-01,7,538,166,0
2012-07-02,2012,07,02,80.3,54.1,1011.6,10.0,3.8,15.0,999.9,88.0,66.9,0.0,999.9,0,2012-07-02,1,564,175,1
2012-07-03,2012,07,03,79.8,56.7,1012.8,10.0,2.9,12.0,999.9,88.0,63.0,0.0,999.9,0,2012-07-03,2,664,210,1
2012-07-04,2012,07,04,81.8,65.6,1009.1,9.2,3.6,11.1,999.9,91.0,68.0,0.06,999.9,0,2012-07-04,3,432,156,0
2012-07-05,2012,07,05,86.7,64.3,1007.4,9.4,3.8,15.0,999.9,93.9,70.0,99.99,999.9,0,2012-07-05,4,591,138,1
2012-07-06,2012,07,06,81.9,62.3,1011.7,10.0,3.1,9.9,999.9,91.0,66.9,0.0,999.9,0,2012-07-06,5,638,179,0
2012-07-07,2012,07,07,84.9,65.9,1010.1,9.5,3.1,14.0,17.1,95.0,70.0,0.0,999.9,0,2012-07-07,6,490,165,0
2012-07-08,2012,07,08,80.6,65.5,1010.1,8.5,3.1,8.0,15.9,90.0,70.0,0.59,999.9,0,2012-07-08,7,464,137,1
2012-07-09,2012,07,09,78.5,56.8,1012.7,10.0,3.5,9.9,999.9,84.0,68.0,0.09,999.9,0,2012-07-09,1,533,150,0
2012-07-10,2012,07,10,76.5,56.3,1016.0,10.0,3.4,9.9,999.9,86.0,61.0,0.0,999.9,0,2012-07-10,2,524,149,1
2012-07-11,2012,07,11,77.1,62.0,1019.9,10.0,1.9,7.0,999.9,84.0,64.9,0.0,999.9,0,2012-07-11,3,565,164,0
2012-07-12,2012,07,12,77.4,60.2,1021.7,10.0,2.3,7.0,999.9,88.0,57.0,0.0,999.9,0,2012-07-12,4,577,155,1
2012-07-13,2012,07,13,78.9,60.7,1021.8,9.9,3.0,7.0,999.9,87.1,63.0,0.0,999.9,0,2012-07-13,5,603,163,1
2012-07-14,2012,07,14,78.5,62.7,1021.6,10.0,3.5,13.0,19.0,82.0,68.0,0.0,999.9,1,2012-07-14,6,536,175,2
2012-07-15,2012,07,15,79.7,68.6,1018.3,9.1,2.8,13.0,999.9,87.1,70.0,0.0,999.9,0,2012-07-15,7,494,150,0
2012-07-16,2012,07,16,79.0,67.9,1011.5,9.2,4.0,14.0,22.0,91.0,70.0,0.26,999.9,0,2012-07-16,1,528,158,2
2012-07-17,2012,07,17,84.6,63.3,1009.3,9.4,3.5,9.9,18.1,93.9,70.0,0.0,999.9,0,2012-07-17,2,648,183,0
2012-07-18,2012,07,18,85.3,69.1,1008.9,7.2,3.7,13.0,20.0,100.0,73.0,0.0,999.9,1,2012-07-18,3,559,116,1
2012-07-19,2012,07,19,73.3,67.2,1013.2,7.5,3.4,15.0,18.1,75.9,68.0,1.76,999.9,0,2012-07-19,4,522,145,0
2012-07-20,2012,07,20,67.2,62.8,1014.9,7.4,6.5,13.0,21.0,73.9,61.0,0.17,999.9,0,2012-07-20,5,604,175,0
2012-07-21,2012,07,21,68.1,58.5,1018.3,9.8,4.1,12.0,999.9,77.0,57.9,0.43,999.9,0,2012-07-21,6,528,176,1
2012-07-22,2012,07,22,72.5,59.4,1020.3,10.0,2.0,8.0,999.9,82.0,54.0,0.0,999.9,0,2012-07-22,7,498,178,6
2012-07-23,2012,07,23,76.0,67.2,1016.9,8.9,3.0,13.0,999.9,86.0,64.0,0.0,999.9,0,2012-07-23,1,505,141,0
2012-07-24,2012,07,24,80.3,67.3,1005.4,8.1,6.0,15.0,18.1,90.0,70.0,0.15,999.9,0,2012-07-24,2,574,111,0
2012-07-25,2012,07,25,76.5,53.5,1009.7,10.0,4.2,19.0,999.9,84.9,66.9,0.0,999.9,0,2012-07-25,3,612,172,0
2012-07-26,2012,07,26,78.0,62.4,1007.0,8.9,4.3,13.0,29.9,87.1,66.9,0.0,999.9,1,2012-07-26,4,604,161,0
2012-07-27,2012,07,27,76.6,69.3,1007.0,9.1,4.4,14.0,999.9,87.1,70.0,0.6,999.9,0,2012-07-27,5,638,165,0
2012-07-28,2012,07,28,75.5,69.6,1012.2,7.0,3.9,8.0,15.9,84.0,68.0,0.0,999.9,1,2012-07-28,6,513,175,1
2012-07-29,2012,07,29,71.7,66.1,1015.1,9.4,3.2,12.0,15.9,79.0,66.9,0.18,999.9,0,2012-07-29,7,376,104,0
2012-07-30,2012,07,30,73.1,65.1,1018.6,10.0,2.2,8.9,999.9,79.0,64.9,0.01,999.9,0,2012-07-30,1,530,140,2
2012-07-31,2012,07,31,73.4,64.3,1016.7,10.0,3.8,14.0,999.9,80.1,60.1,0.0,999.9,0,2012-07-31,2,540,123,0
2012-08-01,2012,08,01,72.2,68.4,1012.4,7.8,2.5,9.9,999.9,78.1,66.9,0.55,999.9,1,2012-08-01,3,616,150,0
2012-08-02,2012,08,02,75.0,68.4,1011.3,6.2,2.7,11.1,999.9,87.1,66.2,0.11,999.9,1,2012-08-02,4,570,156,1
2012-08-03,2012,08,03,77.9,70.8,1015.3,6.0,4.4,13.0,18.1,89.1,69.1,0.0,999.9,1,2012-08-03,5,589,145,1
2012-08-04,2012,08,04,77.9,71.7,1021.1,5.7,4.1,11.1,18.1,90.0,71.1,0.0,999.9,1,2012-08-04,6,568,146,1
2012-08-05,2012,08,05,78.1,72.4,1019.7,5.8,6.1,15.0,22.9,91.0,69.1,0.0,999.9,1,2012-08-05,7,518,173,0
2012-08-06,2012,08,06,77.3,66.9,1015.7,8.9,5.5,15.0,22.0,86.0,71.1,0.49,999.9,0,2012-08-06,1,593,150,1
2012-08-07,2012,08,07,75.2,58.1,1015.7,10.0,1.2,9.9,999.9,82.9,63.0,0.01,999.9,0,2012-08-07,2,547,143,0
2012-08-08,2012,08,08,77.8,67.1,1014.7,8.8,1.1,8.0,999.9,86.0,64.0,0.0,999.9,0,2012-08-08,3,528,133,1
2012-08-09,2012,08,09,78.2,69.6,1013.6,9.3,2.3,7.0,15.0,88.0,61.0,0.0,999.9,0,2012-08-09,4,581,163,2
2012-08-10,2012,08,10,75.3,71.3,1011.6,7.6,5.4,20.0,23.9,79.0,66.2,0.0,999.9,1,2012-08-10,5,617,165,1
2012-08-11,2012,08,11,77.7,71.5,1010.2,7.8,6.9,16.9,28.0,87.1,71.1,1.1,999.9,0,2012-08-11,6,507,155,2
