"num_collisions_adj","max_temp","max_wind","day_group","winter_flag"
252.322,93,9.9,"Sun",0
264.516,88,15,"Mon-Thu",0
311.416,88,12,"Mon-Thu",0
202.608,91,11.1,"Mon-Thu",0
299.222,91,9.9,"Fri",0
229.81,95,14,"Sat",0
217.616,90,8,"Sun",0
249.977,84,9.9,"Mon-Thu",0
245.756,86,9.9,"Mon-Thu",0
264.985,84,7,"Mon-Thu",0
270.613,88,7,"Mon-Thu",0
282.807,87.1,7,"Fri",0
251.384,82,13,"Sat",0
231.686,87.1,13,"Sun",0
247.632,91,14,"Mon-Thu",0
303.912,93.9,9.9,"Mon-Thu",0
262.171,100,13,"Mon-Thu",0
244.818,75.9,15,"Mon-Thu",0
283.276,73.9,13,"Fri",0
247.632,77,12,"Sat",0
233.562,82,8,"Sun",0
236.845,86,13,"Mon-Thu",0
269.206,90,15,"Mon-Thu",0
287.028,84.9,19,"Mon-Thu",0
283.276,87.1,13,"Mon-Thu",0
299.222,87.1,14,"Fri",0
240.597,84,8,"Sat",0
176.344,79,12,"Sun",0
248.57,79,8.9,"Mon-Thu",0
253.26,80.1,14,"Mon-Thu",0
288.904,78.1,9.9,"Mon-Thu",0
267.33,87.1,11.1,"Mon-Thu",0
276.241,89.1,13,"Fri",0
266.392,90,11.1,"Sat",0
242.942,91,15,"Sun",0
278.117,86,15,"Mon-Thu",0
256.543,82.9,9.9,"Mon-Thu",0
247.632,86,8,"Mon-Thu",0
272.489,88,7,"Mon-Thu",0
289.373,79,20,"Fri",0
237.783,87.1,16.9,"Sat",0
236.845,84.9,22,"Sun",0
236.376,86,13,"Mon-Thu",0
243.88,81,9.9,"Mon-Thu",0
282.338,81,9.9,"Mon-Thu",0
287.497,84.9,13,"Mon-Thu",0
269.206,88,15,"Fri",0
253.26,78.1,9.9,"Sat",0
219.023,75,12,"Sun",0
221.837,78.1,9.9,"Mon-Thu",0
226.058,81,12,"Mon-Thu",0
236.376,80.1,8,"Mon-Thu",0
269.206,84,8.9,"Mon-Thu",0
281.869,87.1,7,"Fri",0
222.306,84,13,"Sat",0
220.899,82.9,8.9,"Sun",0
257.012,81,8.9,"Mon-Thu",0
275.303,86,15.9,"Mon-Thu",0
257.95,79,15,"Mon-Thu",0
289.842,82,15.9,"Mon-Thu",0
328.769,90,20,"Fri",0
241.535,90,16.9,"Sat",0
197.449,80.1,11.1,"Sun",0
174.937,79,14,"Mon-Thu",0
284.214,79,15.9,"Mon-Thu",0
281.869,80.1,16.9,"Mon-Thu",0
268.268,79,12,"Mon-Thu",0
318.92,86,8,"Fri",0
280.462,81,15.9,"Sat",0
217.616,75.9,16.9,"Sun",0
298.753,71.1,20,"Mon-Thu",0
244.349,72,18.1,"Mon-Thu",0
305.319,80.1,9.9,"Mon-Thu",0
296.408,80.1,9.9,"Mon-Thu",0
285.621,80.1,9.9,"Fri",0
261.233,72,14,"Sat",0
214.802,73,13,"Sun",0
211.988,77,7,"Mon-Thu",0
260.764,75.2,19,"Mon-Thu",0
287.028,73,21,"Mon-Thu",0
244.818,68,15.9,"Mon-Thu",0
306.726,73,16.9,"Fri",0
256.543,75.9,15,"Sat",0
225.12,72,12,"Sun",0
263.578,66.2,12,"Mon-Thu",0
278.586,72,15,"Mon-Thu",0
189.476,75.9,14,"Mon-Thu",0
290.78,73.9,16.9,"Mon-Thu",0
329.707,69.1,15.9,"Fri",0
227.465,68,14,"Sat",0
210.581,68,14,"Sun",0
260.295,70,23.9,"Mon-Thu",0
278.117,70,9.9,"Mon-Thu",0
235.438,73,9.9,"Mon-Thu",0
259.826,73.4,13,"Mon-Thu",0
325.017,78.1,9.9,"Fri",0
234.5,75,15,"Sat",0
225.589,66.2,16.9,"Sun",0
176.344,55.9,15.9,"Mon-Thu",0
267.33,57.2,18.1,"Mon-Thu",0
300.16,64.9,15.9,"Mon-Thu",0
308.133,62.6,20,"Mon-Thu",0
278.586,62.6,19,"Fri",0
256.543,52,20,"Sat",0
242.473,69.1,20,"Sun",0
284.683,71.1,20,"Mon-Thu",0
282.338,64,15.9,"Mon-Thu",0
288.435,60.1,11.1,"Mon-Thu",0
