"num_collisions","max_temp","max_wind","day_group","winter_flag","weekday"
197,72,8.11231671554252,"Mon-Thu",0,"2"
216,78.1,8.11231671554252,"Mon-Thu",0,"3"
245,84,8.11231671554252,"Mon-Thu",0,"4"
248,79,8.11231671554252,"Fri",0,"5"
262,86,8.11231671554252,"Sat",0,"6"
206,86,8.11231671554252,"Sun",0,"7"
235,79,8.11231671554252,"Mon-Thu",0,"1"
251,87.1,8.11231671554252,"Mon-Thu",0,"2"
238,87.1,8.11231671554252,"Mon-Thu",0,"3"
251,84.9,8.11231671554252,"Mon-Thu",0,"4"
277,84.9,8.11231671554252,"Fri",0,"5"
282,84.9,8.11231671554252,"Sat",0,"6"
228,75,8.11231671554252,"Sun",0,"7"
223,75,8.11231671554252,"Mon-Thu",0,"1"
259,78.1,8.11231671554252,"Mon-Thu",0,"2"
244,78.1,8.11231671554252,"Mon-Thu",0,"3"
226,78.1,8.11231671554252,"Mon-Thu",0,"4"
306,82.9,8.11231671554252,"Fri",0,"5"
246,86,5.1,"Sat",0,"6"
245,88,5.1,"Sun",0,"7"
295,90,5.1,"Mon-Thu",0,"1"
291,90,7,"Mon-Thu",0,"2"
300,87.1,8,"Mon-Thu",0,"3"
251,87.1,6,"Mon-Thu",0,"4"
337,87.1,6,"Fri",0,"5"
273,87.1,7,"Sat",0,"6"
240,90,6,"Sun",0,"7"
301,90,13,"Mon-Thu",0,"1"
278,87.1,8,"Mon-Thu",0,"2"
259,80.1,7,"Mon-Thu",0,"3"
340,91.9,8,"Mon-Thu",0,"4"
302,91.9,11.1,"Fri",0,"5"
278,90,8.9,"Sat",0,"6"
290,91.9,5.1,"Sun",0,"7"
257,96.1,7,"Mon-Thu",0,"1"
243,81,8,"Mon-Thu",0,"2"
267,82.9,5.1,"Mon-Thu",0,"3"
313,89.1,6,"Mon-Thu",0,"4"
296,89.1,15,"Fri",0,"5"
274,82.9,8,"Sat",0,"6"
292,87.1,8,"Sun",0,"7"
290,87.1,7,"Mon-Thu",0,"1"
320,86,8,"Mon-Thu",0,"2"
268,84.9,9.9,"Mon-Thu",0,"3"
322,82,7,"Mon-Thu",0,"4"
308,84,7,"Fri",0,"5"
316,91,4.1,"Sat",0,"6"
313,93.9,7,"Sun",0,"7"
281,93.9,6,"Mon-Thu",0,"1"
331,93,5.1,"Mon-Thu",0,"2"
290,91.9,18.1,"Mon-Thu",0,"3"
332,91.9,8,"Mon-Thu",0,"4"
312,86,8.9,"Fri",0,"5"
291,88,7,"Sat",0,"6"
313,91.9,8.9,"Sun",0,"7"
320,93,8.9,"Mon-Thu",0,"1"
298,93,12,"Mon-Thu",0,"2"
318,93,7,"Mon-Thu",0,"3"
300,91.9,6,"Mon-Thu",0,"4"
343,91.9,7,"Fri",0,"5"
375,88,6,"Sat",0,"6"
286,89.1,8,"Sun",0,"7"
353,89.1,8,"Mon-Thu",0,"1"
451,84,20,"Mon-Thu",0,"2"
345,86,8.9,"Mon-Thu",0,"3"
356,86,6,"Mon-Thu",0,"4"
337,82,7,"Fri",0,"5"
260,82.9,8.9,"Sat",0,"6"
283,87.1,8,"Sun",0,"7"
320,91.9,7,"Mon-Thu",0,"1"
317,91.9,6,"Mon-Thu",0,"2"
293,88,7,"Mon-Thu",0,"3"
275,90,6,"Mon-Thu",0,"4"
344,86,8,"Fri",0,"5"
313,86,8.9,"Sat",0,"6"
279,73.9,11.1,"Sun",0,"7"
288,81,8,"Mon-Thu",0,"1"
311,82,8.9,"Mon-Thu",0,"2"
286,82,6,"Mon-Thu",0,"3"
306,79,6,"Mon-Thu",0,"4"
348,82.9,8,"Fri",0,"5"
328,88,8,"Sat",0,"6"
316,88,6,"Sun",0,"7"
320,90,6,"Mon-Thu",0,"1"
286,90,18.1,"Mon-Thu",0,"2"
310,89.1,8.9,"Mon-Thu",0,"3"
343,90,12,"Mon-Thu",0,"4"
306,90,8.9,"Fri",0,"5"
291,84.9,7,"Sat",0,"6"
303,81,11.1,"Sun",0,"7"
294,79,8,"Mon-Thu",0,"1"
337,77,8,"Mon-Thu",0,"2"
309,79,6,"Mon-Thu",0,"3"
363,84.9,6,"Mon-Thu",0,"4"
383,84.9,8.9,"Fri",0,"5"
362,84.9,7,"Sat",0,"6"
293,82,5.1,"Sun",0,"7"
295,82,6,"Mon-Thu",0,"1"
337,84,6,"Mon-Thu",0,"2"
292,84,5.1,"Mon-Thu",0,"3"
347,82,5.1,"Mon-Thu",0,"4"
351,75.9,8.9,"Fri",0,"5"
304,75.9,8,"Sat",0,"6"
245,73.9,7,"Sun",0,"7"
289,75,7,"Mon-Thu",0,"1"
301,75,9.9,"Mon-Thu",0,"2"
307,70,8,"Mon-Thu",0,"3"
322,75,7,"Mon-Thu",0,"4"
341,75,9.9,"Fri",0,"5"
330,70,13,"Sat",0,"6"
275,64.9,8.9,"Sun",0,"7"
310,64.9,8.9,"Mon-Thu",0,"1"
307,71.1,6,"Mon-Thu",0,"2"
356,79,12,"Mon-Thu",0,"3"
297,79,5.1,"Mon-Thu",0,"4"
348,77,5.1,"Fri",0,"5"
330,77,6,"Sat",0,"6"
315,79,5.1,"Sun",0,"7"
300,79,6,"Mon-Thu",0,"1"
317,77,6,"Mon-Thu",0,"2"
347,73.9,9.9,"Mon-Thu",0,"3"
332,72,8,"Mon-Thu",0,"4"
350,72,6,"Fri",0,"5"
323,66,8,"Sat",0,"6"
269,66.9,7,"Sun",0,"7"
302,70,5.1,"Mon-Thu",0,"1"
325,70,5.1,"Mon-Thu",0,"2"
308,73.9,11.1,"Mon-Thu",0,"3"
332,73.9,11.1,"Mon-Thu",0,"4"
330,69.1,6,"Fri",0,"5"
277,71.1,8,"Sat",0,"6"
248,71.1,8.9,"Sun",0,"7"
323,66.9,14,"Mon-Thu",0,"1"
323,57.9,11.1,"Mon-Thu",0,"2"
333,66.9,7,"Mon-Thu",0,"3"
311,71.1,8.9,"Mon-Thu",0,"4"
304,66,9.9,"Fri",0,"5"
335,66,8,"Sat",0,"6"
305,62.1,8.9,"Sun",0,"7"
276,64.9,7,"Mon-Thu",0,"1"
336,71.1,4.1,"Mon-Thu",0,"2"
338,71.1,4.1,"Mon-Thu",0,"3"
264,68,4.1,"Mon-Thu",0,"4"
337,68,5.1,"Fri",0,"5"
301,69.1,8,"Sat",0,"6"
281,69.1,8.9,"Sun",0,"7"
314,57.9,8.9,"Mon-Thu",0,"1"
262,59,7,"Mon-Thu",0,"2"
309,57,7,"Mon-Thu",0,"3"
334,57,13,"Mon-Thu",0,"4"
394,55.9,13,"Fri",0,"5"
334,46.9,6,"Sat",0,"6"
308,55,11.1,"Sun",0,"7"
327,55,18.1,"Mon-Thu",0,"1"
285,53.1,12,"Mon-Thu",0,"2"
302,62.1,7,"Mon-Thu",0,"3"
357,66.9,8,"Mon-Thu",0,"4"
365,70,8,"Fri",0,"5"
329,73.9,6,"Sat",0,"6"
326,75,6,"Sun",0,"7"
318,75,4.1,"Mon-Thu",0,"1"
343,75,8,"Mon-Thu",0,"2"
300,73.9,7,"Mon-Thu",0,"3"
327,72,8.9,"Mon-Thu",0,"4"
